run_id,case_id,scenario,scenario_case_id,status,policy,controller_sweep,run_dir,mean_latency,median_latency,p95_latency,p99_latency,controller.lp-wrr.lp_ewma_gamma,service_class.classes[1].scale_beta,breakdown.service.drop.class_0.dispatched,breakdown.service.drop.class_0.drop_rate,breakdown.service.drop.class_0.dropped,breakdown.service.drop.class_1.dispatched,breakdown.service.drop.class_1.drop_rate,breakdown.service.drop.class_1.dropped,breakdown.service.job_size.class_0.total,breakdown.service.job_size.class_1.total,breakdown.service.latency.class_0.count,breakdown.service.latency.class_0.mean,breakdown.service.latency.class_0.median,breakdown.service.latency.class_0.p95,breakdown.service.latency.class_0.p99,breakdown.service.latency.class_1.count,breakdown.service.latency.class_1.mean,breakdown.service.latency.class_1.median,breakdown.service.latency.class_1.p95,breakdown.service.latency.class_1.p99,breakdown.worker.drop.worker_0.dispatched,breakdown.worker.drop.worker_0.drop_rate,breakdown.worker.drop.worker_0.dropped,breakdown.worker.drop.worker_1.dispatched,breakdown.worker.drop.worker_1.drop_rate,breakdown.worker.drop.worker_1.dropped,breakdown.worker.drop.worker_2.dispatched,breakdown.worker.drop.worker_2.drop_rate,breakdown.worker.drop.worker_2.dropped,breakdown.worker.drop.worker_3.dispatched,breakdown.worker.drop.worker_3.drop_rate,breakdown.worker.drop.worker_3.dropped,breakdown.worker.latency.worker_0.count,breakdown.worker.latency.worker_0.mean,breakdown.worker.latency.worker_0.median,breakdown.worker.latency.worker_0.p95,breakdown.worker.latency.worker_0.p99,breakdown.worker.latency.worker_1.count,breakdown.worker.latency.worker_1.mean,breakdown.worker.latency.worker_1.median,breakdown.worker.latency.worker_1.p95,breakdown.worker.latency.worker_1.p99,breakdown.worker.latency.worker_2.count,breakdown.worker.latency.worker_2.mean,breakdown.worker.latency.worker_2.median,breakdown.worker.latency.worker_2.p95,breakdown.worker.latency.worker_2.p99,breakdown.worker.latency.worker_3.count,breakdown.worker.latency.worker_3.mean,breakdown.worker.latency.worker_3.median,breakdown.worker.latency.worker_3.p95,breakdown.worker.latency.worker_3.p99,breakdown.worker.utilization.worker_0,breakdown.worker.utilization.worker_1,breakdown.worker.utilization.worker_2,breakdown.worker.utilization.worker_3,outcomes.dispersion.service_latency_mean_max_gap,outcomes.dispersion.service_latency_mean_stddev,outcomes.dispersion.worker_latency_mean_max_gap,outcomes.dispersion.worker_latency_mean_stddev,outcomes.dispersion.worker_utilization_max_gap,outcomes.dispersion.worker_utilization_stddev,outcomes.job_size.total,outcomes.latency.mean,outcomes.latency.median,outcomes.latency.p95,outcomes.latency.p99,outcomes.queueing.avg_global_inflight,outcomes.queueing.avg_queue_len,outcomes.queueing.avg_utilization,outcomes.time.drain_time,outcomes.time.sim_time_total,outcomes.time.wall_time_total,outcomes.traffic.completed,outcomes.traffic.dispatched,outcomes.traffic.drop_rate,outcomes.traffic.dropped,outcomes.traffic.throughput,error
12,12,std-0,12,ok,static-wrr,False,logs/sweep-20260313-061711/run_logs/run-sweep-static-wrr-std-0-case0012-20260313-061712,59.40185193764117,42.55999999999767,169.0484788749542,333.90121471187445,,7.5,32703,0.009112313854998012,298,50714,0.009247939425010844,469,51719867,80193284,32405,59.265576422309614,42.55999999999767,188.65903301852515,337.1508851387934,50245,59.489741440563236,42.55999999999767,167.29684417700628,327.27128486123866,16905,0.006211180124223602,105,27805,0.011904333752922136,331,27806,0.011903905631878013,331,10901,0.0,0,16800,53.91071195417867,42.55999999999767,126.58947241653216,257.9815025864041,27474,64.267218125009,42.55999999999767,228.3556476629659,335.8674033000204,27475,64.3655915205936,42.55999999999767,228.6908450001909,336.9940289685875,10901,43.091544263923936,42.55999999999767,43.76552682471811,58.95871780143352,0.29542182665195876,0.483120836636496,0.48313783684648537,0.1916903794415713,0.2241650182536219,0.11208250912681095,21.27404725666966,8.784290110047142,0.29144745740491407,0.12527513821348582,131913151,59.40185193764117,42.55999999999767,169.0484788749542,333.90121471187445,14.492213817327404,3.8349856743829194,0.36334271989412786,290.5649928532075,605090.5649928532,4.371377413976006,82650,83417,0.009194768452473717,767,0.13665674603174602,
11,11,std-0,11,ok,static-wrr,False,logs/sweep-20260313-061711/run_logs/run-sweep-static-wrr-std-0-case0011-20260313-061712,60.98873079781632,42.55999999999767,173.06965491919846,334.617568231133,,7,32703,0.010427177934746047,341,56389,0.013052191030165458,736,51651236,88824741,32362,61.72298653024841,42.55999999999767,204.3050046062097,337.76850108996325,55653,60.56176398537193,42.55999999999767,168.27200015020208,328.2806961304857,18797,0.00962919614832154,181,29697,0.015153045762198203,450,29697,0.015018352022089773,446,10901,0.0,0,18616,54.26867836042559,42.55999999999767,127.2729382462121,253.5226277102338,29247,66.43873371156128,42.55999999999767,230.116303137922,336.7434662956791,29251,66.48602974014744,42.55999999999767,228.5599617783446,337.2253899315838,10901,43.091544263923936,42.55999999999767,43.76552682471811,58.95871780143352,0.3273659309915277,0.5143143824917903,0.5143846000679555,0.19169636281196617,1.1612225448764804,0.5806112724382402,23.394485476223508,9.729779324681198,0.32268823725598933,0.13613918150359722,140475977,60.98873079781632,42.55999999999767,173.06965491919846,334.617568231133,15.808579894940062,4.248091860099672,0.38694031909080995,271.67845312086865,605071.6784531209,4.665191158012021,88015,89092,0.012088627486194046,1077,0.14552744708994708,
10,10,std-0,10,ok,static-wrr,False,logs/sweep-20260313-061711/run_logs/run-sweep-static-wrr-std-0-case0010-20260313-061712,62.46556648365157,42.55999999999767,208.1864851181017,335.6401935152535,,6.5,32703,0.011956089655383298,391,57628,0.017161796348997015,989,51571422,90398403,32312,64.50727946028049,42.55999999999767,264.40267301050676,338.3968865992187,56639,61.300789038766716,42.55999999999767,182.94163190967805,330.5682663123741,19210,0.01140031233732431,219,30110,0.019229491863168382,579,30110,0.01932912653603454,582,10901,0.0,0,18991,54.22335680235654,42.55999999999767,126.29618939498323,262.8279412827976,29531,68.76618399689308,42.55999999999767,264.95853983197594,337.84170010379165,29528,68.61770968641473,42.55999999999767,263.5037602731536,337.78712321679455,10901,43.091544263923936,42.55999999999767,43.76552682471811,58.95871780143352,0.3339451052172381,0.5192849928800404,0.5192319547298849,0.19168769707631714,3.20649042151377,1.603245210756885,25.67463973296914,10.76279110920683,0.3275972958037232,0.13773264239209493,141969825,62.46556648365157,42.55999999999767,208.1864851181017,335.6401935152535,17.158826980770723,4.6850361448450695,0.3910374374758701,299.03227547963616,605099.0322754796,4.708881513011875,88951,90331,0.015277147380190632,1380,0.14707506613756613,
9,9,std-0,9,ok,static-wrr,False,logs/sweep-20260313-061711/run_logs/run-sweep-static-wrr-std-0-case0009-20260313-061712,64.99267298201583,42.55999999999767,221.8026422948169,335.6582257874164,,6,32703,0.013148640797480354,430,66403,0.014005391322681204,930,51509164,104497850,32273,66.09711287292671,42.55999999999767,276.50812197411426,338.69206304033986,65473,64.44827164712409,42.55999999999767,208.27076077539823,331.1980004844349,22135,0.008764400271063925,194,33035,0.017617678220069623,582,33035,0.017678220069623128,584,10901,0.0,0,21941,57.08985477366875,42.55999999999767,157.1870498972712,280.1265330625821,32453,71.22090093918466,42.55999999999767,270.2146713233262,337.66825845031997,32451,71.4644383073144,42.55999999999767,272.10152471935726,338.2431847267726,10901,43.091544263923936,42.55999999999767,43.76552682471811,58.95871780143352,0.38582662306516285,0.5706775032956198,0.5706424449831103,0.19169147094770098,1.6488412258026273,0.8244206129013136,28.37289404339046,11.722331648492823,0.37898603234791883,0.15677401090166776,156007014,64.99267298201583,42.55999999999767,221.8026422948169,335.6582257874164,17.903628438237845,4.938419470062358,0.4297095105728985,287.1195601616055,605087.1195601616,5.23045433399966,97746,99106,0.013722680766048474,1360,0.16161706349206348,
8,8,std-0,8,ok,static-wrr,False,logs/sweep-20260313-061711/run_logs/run-sweep-static-wrr-std-0-case0008-20260313-061712,64.56514921973114,42.55999999999767,206.4051899438542,334.0478197665443,,5.5,32703,0.013576736079258784,444,73706,0.022630450709575884,1668,51486827,114975857,32259,63.79758499840571,42.55999999999767,231.06619734249517,337.77791719422095,72038,64.90886856529511,42.55999999999767,200.71127423879346,328.61605724143516,24569,0.018030851886523667,443,35469,0.023485297019932898,833,35470,0.023569213419791374,836,10901,0.0,0,24126,57.653785061861,42.55999999999767,158.2978137995815,282.9572319351282,34636,70.29241242519369,42.55999999999767,247.04252270341385,335.97996958182483,34634,70.41078792480789,42.55999999999767,248.01781929747267,337.3845250763377,10901,43.091544263923936,42.55999999999767,43.76552682471811,58.95871780143352,0.4242520242363023,0.6090689483298648,0.6090336804518623,0.1916927169761705,1.111283566889398,0.555641783444699,27.319243660883956,11.238263868420567,0.4173762313536943,0.17153020631147922,166462684,64.56514921973114,42.55999999999767,206.4051899438542,334.0478197665443,19.2546965012358,5.396489018786005,0.45851184249855,283.18641241663136,605083.1864124166,5.58211632198072,104297,106409,0.01984794519260589,2112,0.17244874338624339,
7,7,std-0,7,ok,static-wrr,False,logs/sweep-20260313-061711/run_logs/run-sweep-static-wrr-std-0-case0007-20260313-061712,71.67790895395524,42.55999999999767,269.7135162440214,337.0124458562769,,5,32703,0.01727670244320093,565,80758,0.023601376953366848,1906,51293723,125851248,32138,74.89099524497588,42.55999999999767,316.3035762337022,339.18707266639336,78852,70.36833954264264,42.55999999999767,247.0407265874877,333.9385797625431,26920,0.014710252600297177,396,37820,0.027419354838709678,1037,37820,0.027445795875198308,1038,10901,0.0,0,26524,59.04662264971904,42.55999999999767,165.86009690613716,294.68597984649534,36783,80.43272721516152,42.56000000005588,305.5233288636723,338.44440293425055,36782,80.50352255075916,42.56000000005588,309.1738279169948,338.7274845784938,10901,43.091544263923936,42.55999999999767,43.76552682471811,58.95871780143352,0.46641505973857217,0.6468163974315136,0.6467986480027584,0.19169059136929928,4.522655702333239,2.2613278511666195,37.41197828683522,15.744748377745136,0.45512580606221437,0.1862154763219132,177144971,71.67790895395524,42.55999999999767,269.7135162440214,337.0124458562769,22.37315905905994,6.373203127065688,0.48793017413553585,289.89602173806634,605089.8960217381,5.928897253004834,110990,113461,0.02177840843990446,2471,0.18351521164021165,
6,6,std-0,6,ok,static-wrr,False,logs/sweep-20260313-061711/run_logs/run-sweep-static-wrr-std-0-case0006-20260313-061712,78.43270216586761,42.56000000000131,298.07319227412773,338.2710813007539,,4.5,32703,0.023789866373115615,778,90757,0.032041605606179135,2908,50953775,140210875,31925,82.75192504493582,42.55999999999767,327.3798472563619,340.28063459837574,87849,76.86306346293128,42.56000000005588,279.6715381426504,336.5706428193953,30253,0.02181601824612435,660,41153,0.0368624401623211,1517,41153,0.03666804364201881,1509,10901,0.0,0,29593,59.97454065094298,42.55999999999767,170.22156505416496,301.5210958536851,39636,90.09220856521877,42.56000000005588,323.3278188002005,339.3518462768319,39644,90.2718238578152,42.56000000005588,323.9595001485678,339.86982411815086,10901,43.091544263923936,42.55999999999767,43.76552682471811,58.95871780143352,0.5203791125949057,0.6969807170607935,0.6971217199875331,0.19168934731226048,5.888861582004537,2.9444307910022687,47.18027959389127,20.22546097479952,0.5054323726752726,0.2063438134130995,191164650,78.43270216586761,42.56000000000131,298.07319227412773,338.2710813007539,26.014725417139154,7.5778794751336465,0.5265427242388732,293.8230336185079,605093.8230336185,6.595992741000373,119774,123460,0.029855823748582536,3686,0.19803902116402117,
5,5,std-0,5,ok,static-wrr,False,logs/sweep-20260313-061711/run_logs/run-sweep-static-wrr-std-0-case0005-20260313-061712,92.32033285178382,42.56000000005588,325.5228389643744,339.63341052570615,,4,32703,0.034094731370210685,1115,99182,0.04213466153132625,4179,50415881,151628957,31588,98.07665846055191,42.55999999999767,333.35438555933933,340.8612697838398,95003,90.40638473088484,42.56000000005588,320.08204156587595,338.74518954379135,33061,0.026496476210640937,876,43961,0.050271831850958806,2210,43962,0.05022519448614713,2208,10901,0.0,0,32185,61.072330887112884,42.55999999999767,170.23984688355122,303.45917243947275,41751,110.86903356371865,50.72864206302256,332.0309559211455,340.47222203647834,41754,110.71217948217142,50.69686858919886,332.16523271137555,340.6316930311924,10901,43.091544263923936,42.55999999999767,43.76552682471811,58.95871780143352,0.5659618263938734,0.7341772399437136,0.7342297831214635,0.19169066750535207,7.670273729667073,3.8351368648335367,67.77748929979471,30.034873293283216,0.5425391156161115,0.22154708966196643,202044838,92.32033285178382,42.56000000005588,325.5228389643744,339.63341052570615,33.12611745080942,9.935648481631725,0.5565148792411007,289.65569101739675,605089.6556910174,7.171161695005139,126591,131885,0.04014103195966183,5294,0.20931051587301588,
4,4,std-0,4,ok,static-wrr,False,logs/sweep-20260313-061711/run_logs/run-sweep-static-wrr-std-0-case0004-20260313-061712,137.55704069291164,69.31874930023332,335.05201117396064,340.7387551836582,,3.5,32703,0.05617221661621258,1837,114379,0.0486890075975485,5569,49263524,173665616,30866,130.4090835364619,42.58666666666977,336.7374991676861,341.271281432471,108810,139.58469298214035,80.67742147744138,334.487252602087,340.47391158098935,38127,0.02014320560232906,768,49027,0.06763620046097049,3316,49027,0.06775858200583353,3322,10901,0.0,0,37359,67.61990650769351,42.56000000000131,211.19545163054565,309.02535007007054,45711,177.0840676128613,150.77260639535962,337.06217766407644,341.2721050267341,45705,177.72178951820734,151.44135457795346,337.45303634292213,341.3536401220714,10901,43.091544263923936,42.55999999999767,43.76552682471811,58.95871780143352,0.6569410597369038,0.803807423518531,0.8037028335801228,0.1916895260617676,9.175609445678447,4.587804722839223,134.6302452542834,61.63713050140372,0.6121178974567634,0.25109962621495135,222929140,137.55704069291164,69.31874930023332,335.05201117396064,340.7387551836582,47.10669558477584,14.577235827633565,0.6140352107243313,293.2587867092807,605093.2587867093,7.908892023988301,139676,147082,0.05035286438857236,7406,0.2309457671957672,
15,15,std-0,15,ok,static-wrr,False,logs/sweep-20260313-061711/run_logs/run-sweep-static-wrr-std-0-case0015-20260313-061717,59.86700443765789,42.55999999999767,187.64475992980047,333.2496000828315,,9,32703,0.006543742164327432,214,39735,0.0077765194412986035,309,51853933,62925705,32489,59.30116948686526,42.55999999999767,208.15583824332634,335.79687598139515,39426,60.33328079631213,42.55999999999767,178.93952717114007,326.5325483249035,13245,0.004454511136277841,59,24146,0.009525387227698169,230,24146,0.009691046136005963,234,10901,0.0,0,13186,54.753373849661784,42.55999999999767,128.44251856542178,258.2293838474462,23916,65.11853317840735,42.55999999999767,256.23918313455215,336.0775945228728,23912,65.08204554352217,42.55999999999767,255.57847352590616,335.65949463353843,10901,43.091544263923936,42.55999999999767,43.76552682471811,58.95871780143352,0.23186927503603444,0.4205510271352957,0.4204802174055503,0.19168873624566046,1.0321113094468686,0.5160556547234343,22.02698891448341,9.079124319940329,0.22886229088963522,0.1053306881655504,114779638,59.86700443765789,42.55999999999767,187.64475992980047,333.2496000828315,13.8044672685607,3.643819542229217,0.3161473139556352,295.75195564271417,605095.7519556427,3.664506972010713,71915,72438,0.0072199674204146995,523,0.11890707671957672,
