window_index,window_seconds,window_start_timestamp,window_end_timestamp,request_count,inter_arrival_count,gamma,alpha,beta
0,3600.0,6998414.0,7002014.0,11222,2681,0.27436506683728584,0.27436506683728584,4.89142648149412
1,3600.0,7002014.0,7005614.0,2417,1683,0.0294006027925887,0.0294006027925887,70.59244675583233
2,3600.0,7005614.0,7009214.0,1756,1299,0.022675883984305388,0.022675883984305388,117.70108443561057
3,3600.0,7009214.0,7012814.0,5194,2248,0.03209462987782477,0.03209462987782477,48.1643973219998
4,3600.0,7012814.0,7016414.0,3450,1897,9.189816287144366,9.189816287144366,0.11782196970669223
5,3600.0,7016414.0,7020014.0,1805,1070,18.647500335075378,18.647500335075378,0.056082283079853724
6,3600.0,7020014.0,7023614.0,3925,2483,0.012870231566059771,0.012870231566059771,112.62084100194603
7,3600.0,7023614.0,7027214.0,4262,2146,0.023155146535576775,0.023155146535576775,55.503070623326664
8,3600.0,7027214.0,7030814.0,5176,2423,5.828515454487184,5.828515454487184,0.18332457377452738
9,3600.0,7030814.0,7034414.0,0,0,,,
10,3600.0,7034414.0,7038014.0,6107,1742,3.5776960262925197,3.5776960262925197,0.3412839782858621
11,3600.0,7038014.0,7041614.0,7700,1907,0.22068456180466695,0.22068456180466695,5.344004431964521
12,3600.0,7041614.0,7045214.0,4679,2194,0.015586410793069664,0.015586410793069664,103.3144090578781
13,3600.0,7045214.0,7048814.0,10319,2813,0.15766042397590452,0.15766042397590452,8.110507225429373
14,3600.0,7048814.0,7052414.0,15341,3140,2.0647116030352124,2.0647116030352124,0.5551275743615304
15,3600.0,7052414.0,7056014.0,9352,3373,13.112670680941292,13.112670680941292,0.08137188023784456
16,3600.0,7056014.0,7059614.0,7877,2986,4.956649600856,4.956649600856,0.24316654529510198
17,3600.0,7059614.0,7063214.0,14789,3193,5.321029419134761,5.321029419134761,0.21182990333728735
18,3600.0,7063214.0,7066814.0,11413,3168,5.5700236989251755,5.5700236989251755,0.20390080628408833
19,3600.0,7066814.0,7070414.0,8747,3204,6.255110334153585,6.255110334153585,0.1795785103297149
20,3600.0,7070414.0,7074014.0,9430,3045,2.8411533333889296,2.8411533333889296,0.41600627067087637
21,3600.0,7074014.0,7077614.0,12964,3236,6.758151202717063,6.758151202717063,0.16456801453225614
22,3600.0,7077614.0,7081214.0,11286,3009,3.4257127355651593,3.4257127355651593,0.34885628616560255
23,3600.0,7081214.0,7084814.0,9611,2642,0.5153436666362629,0.5153436666362629,2.642599829411445
24,3600.0,7084814.0,7088414.0,3676,1771,0.022706637980284564,0.022706637980284564,89.49740634711004
25,3600.0,7088414.0,7092014.0,5357,3062,4.960202883954395,4.960202883954395,0.2369611886892907
26,3600.0,7092014.0,7095614.0,6821,2742,0.3203664981771602,0.3203664981771602,4.097012623451119
27,3600.0,7095614.0,7099214.0,3827,1855,0.01047988119749821,0.01047988119749821,183.28019953505392
28,3600.0,7099214.0,7102814.0,880,874,0.00977810196967854,0.00977810196967854,408.72630681434924
29,3600.0,7102814.0,7106414.0,4376,2675,4.259355072501871,4.259355072501871,0.31587424336459147
30,3600.0,7106414.0,7110014.0,1656,1653,5.203547201488201,5.203547201488201,0.3857483079151469
31,3600.0,7110014.0,7113614.0,1423,1422,4.8912155075765105,4.8912155075765105,0.41967944631637055
32,3600.0,7113614.0,7117214.0,5853,2892,0.23520639799408807,0.23520639799408807,5.233624722209737
33,3600.0,7117214.0,7120814.0,5607,2976,5.244194797459948,5.244194797459948,0.2246467652994272
34,3600.0,7120814.0,7124414.0,6784,2147,0.021565016982572183,0.021565016982572183,77.68883141374812
35,3600.0,7124414.0,7128014.0,11016,3139,5.694820548624701,5.694820548624701,0.20133092437184089
36,3600.0,7128014.0,7131614.0,4165,2574,4.274364374791204,4.274364374791204,0.32620707362974993
37,3600.0,7131614.0,7135214.0,5504,2713,3.4282359386705217,3.4282359386705217,0.3869557901317147
38,3600.0,7135214.0,7138814.0,4886,2767,4.029140718804923,4.029140718804923,0.32281986533424256
39,3600.0,7138814.0,7142414.0,6743,3074,4.696582629150988,4.696582629150988,0.24921565982402122
40,3600.0,7142414.0,7146014.0,3092,2090,0.35655414567068633,0.35655414567068633,4.826903998946944
41,3600.0,7146014.0,7149614.0,4709,2658,3.8135090917066994,3.8135090917066994,0.3550602740373278
42,3600.0,7149614.0,7153214.0,2687,2015,3.204695614763049,3.204695614763049,0.5568751604346477
43,3600.0,7153214.0,7156814.0,2939,1683,0.01837145356736037,0.01837145356736037,116.36798749684989
44,3600.0,7156814.0,7160414.0,6850,2837,3.2935384966476136,3.2935384966476136,0.38485541644789373
45,3600.0,7160414.0,7164014.0,12215,3277,7.168832356131819,7.168832356131819,0.15311423609458927
46,3600.0,7164014.0,7167614.0,7702,2138,11.367740368095815,11.367740368095815,0.09376968957631308
47,3600.0,7167614.0,7171214.0,2520,1769,0.008493182140688137,0.008493182140688137,233.0203445062659
48,3600.0,7171214.0,7174814.0,3341,2343,0.025924178748006052,0.025924178748006052,59.252209646609884
49,3600.0,7174814.0,7178414.0,5914,3144,5.683769719938523,5.683769719938523,0.20134560195302703
50,3600.0,7178414.0,7182014.0,4141,2648,0.03389948098555521,0.03389948098555521,40.09320890159958
51,3600.0,7182014.0,7185614.0,4506,3178,5.271106623839705,5.271106623839705,0.21484544602015374
52,3600.0,7185614.0,7189214.0,5194,2939,4.213796276190199,4.213796276190199,0.29028578783905595
53,3600.0,7189214.0,7192814.0,1798,1795,0.5720146646263343,0.5720146646263343,3.4204472052843076
54,3600.0,7192814.0,7196414.0,0,0,,,
55,3600.0,7196414.0,7200014.0,927,922,5.322128642766555,5.322128642766555,0.28815961856489797
56,3600.0,7200014.0,7203614.0,2248,2237,5.574281137785226,5.574281137785226,0.2886203799471018
57,3600.0,7203614.0,7207214.0,3497,1393,0.0030491956474011325,0.0030491956474011325,847.3160619116447
58,3600.0,7207214.0,7210814.0,5681,2723,2.622007509263126,2.622007509263126,0.5040809373232422
59,3600.0,7210814.0,7214414.0,5158,2871,0.27649005625900425,0.27649005625900425,4.533870771216364
60,3600.0,7214414.0,7218014.0,2524,1730,0.22081863563205859,0.22081863563205859,6.989231668506896
61,3600.0,7218014.0,7221614.0,1076,790,0.05718654671476615,0.05718654671476615,23.04250902856305
62,3600.0,7221614.0,7225214.0,3699,2620,3.5132728240795696,3.5132728240795696,0.39099272698734583
63,3600.0,7225214.0,7228814.0,5597,2908,3.85003955437383,3.85003955437383,0.3213672122599102
64,3600.0,7228814.0,7232414.0,392,389,0.02156639506719957,0.02156639506719957,209.79035113344224
65,3600.0,7232414.0,7236014.0,384,382,5.955804499287587,5.955804499287587,0.29668799689742115
66,3600.0,7236014.0,7239614.0,1841,1836,3.8549326068380827,3.8549326068380827,0.5085016656163964
67,3600.0,7239614.0,7243214.0,1266,1252,0.0062066170287777105,0.0062066170287777105,459.29029685873314
68,3600.0,7243214.0,7246814.0,151,132,0.03414059151930018,0.03414059151930018,481.07668008498223
69,3600.0,7246814.0,7250414.0,2660,1933,0.05954569009250732,0.05954569009250732,27.827535909091992
70,3600.0,7250414.0,7254014.0,2010,2007,4.34132453013941,4.34132453013941,0.41294435567785753
71,3600.0,7254014.0,7257614.0,348,346,0.01008551559280243,0.01008551559280243,599.2110711195502
72,3600.0,7257614.0,7261214.0,0,0,,,
73,3600.0,7261214.0,7264814.0,885,882,5.050977081785171,5.050977081785171,0.34770219686755954
74,3600.0,7264814.0,7268414.0,2244,2054,4.791530582936752,4.791530582936752,0.3655833896685041
75,3600.0,7268414.0,7272014.0,1691,924,0.0024461318801025375,0.0024461318801025375,1566.215158852447
76,3600.0,7272014.0,7275614.0,95,92,0.5123416190403887,0.5123416190403887,74.61478718275202
77,3600.0,7275614.0,7279214.0,1988,1971,4.196827976741477,4.196827976741477,0.4347222716034293
78,3600.0,7279214.0,7282814.0,1443,1432,0.16371061441914805,0.16371061441914805,10.403798779607909
79,3600.0,7282814.0,7286414.0,1,0,,,
80,3600.0,7286414.0,7290014.0,2848,1871,4.571180342927234,4.571180342927234,0.2996722048524623
81,3600.0,7290014.0,7293614.0,1992,1943,4.074263000368151,4.074263000368151,0.45450566263582376
