window_index,window_seconds,window_start_timestamp,window_end_timestamp,request_count,inter_arrival_count,gamma,alpha,beta
0,1200.0,2592050.0,2593250.0,12,11,4.2186017468028,4.2186017468028,21.980570409982175
1,1200.0,2593250.0,2594450.0,8,7,1.318223514057056,1.318223514057056,119.20805194805197
2,1200.0,2594450.0,2595650.0,6,5,1.7350365334242739,1.7350365334242739,112.73537832310839
3,1200.0,2595650.0,2596850.0,5,4,1.5818692280909246,1.5818692280909246,169.103738317757
4,1200.0,2596850.0,2598050.0,14,13,0.7933296190642432,0.7933296190642432,111.70058760683762
5,1200.0,2598050.0,2599250.0,14,13,1.1391025329125717,1.1391025329125717,77.32133019818608
6,1200.0,2599250.0,2600450.0,11,10,8.904375319858945,8.904375319858945,12.6566992014197
7,1200.0,2600450.0,2601650.0,8,7,0.5859026248437592,0.5859026248437592,256.0152380952381
8,1200.0,2601650.0,2602850.0,5,4,46.79066169108947,46.79066169108947,3.8308926080892607
9,1200.0,2602850.0,2604050.0,1,0,,,
10,1200.0,2604050.0,2605250.0,5,4,1.8915551582534849,1.8915551582534849,97.27445652173913
11,1200.0,2605250.0,2606450.0,0,0,,,
12,1200.0,2606450.0,2607650.0,0,0,,,
13,1200.0,2607650.0,2608850.0,0,0,,,
14,1200.0,2608850.0,2610050.0,0,0,,,
15,1200.0,2610050.0,2611250.0,0,0,,,
16,1200.0,2611250.0,2612450.0,4,3,0.9212216491880594,0.9212216491880594,112.1698924731183
17,1200.0,2612450.0,2613650.0,3,2,7.764068243943822,7.764068243943822,36.965156794425084
18,1200.0,2613650.0,2614850.0,2,1,,,
19,1200.0,2614850.0,2616050.0,4,3,1.8415197771037477,1.8415197771037477,171.2353770260747
20,1200.0,2616050.0,2617250.0,0,0,,,
21,1200.0,2617250.0,2618450.0,0,0,,,
22,1200.0,2618450.0,2619650.0,0,0,,,
23,1200.0,2619650.0,2620850.0,0,0,,,
24,1200.0,2620850.0,2622050.0,0,0,,,
25,1200.0,2622050.0,2623250.0,0,0,,,
26,1200.0,2623250.0,2624450.0,0,0,,,
27,1200.0,2624450.0,2625650.0,11,10,1.2793219110545522,1.2793219110545522,86.1393829401089
28,1200.0,2625650.0,2626850.0,34,33,1.264222211943198,1.264222211943198,28.020582212198978
29,1200.0,2626850.0,2628050.0,28,27,1.3088961535786325,1.3088961535786325,32.93699885452463
30,1200.0,2628050.0,2629250.0,47,45,1.762793432898576,1.762793432898576,14.043367245162578
31,1200.0,2629250.0,2630450.0,20,19,1.6242003014152548,1.6242003014152548,36.97366114673186
32,1200.0,2630450.0,2631650.0,40,37,0.34079915689809676,0.34079915689809676,88.9007401692504
33,1200.0,2631650.0,2632850.0,25,23,1.84513895077575,1.84513895077575,26.697647645727
34,1200.0,2632850.0,2634050.0,19,18,1.1503155830626874,1.1503155830626874,47.716374269005854
35,1200.0,2634050.0,2635250.0,16,15,2.6965243760205273,2.6965243760205273,25.21764705882353
36,1200.0,2635250.0,2636450.0,8,7,1.6885797305975532,1.6885797305975532,78.08760253830677
37,1200.0,2636450.0,2637650.0,8,7,0.7314552622837446,0.7314552622837446,143.15883843305397
38,1200.0,2637650.0,2638850.0,11,10,1.852466504263094,1.852466504263094,57.11304347826086
39,1200.0,2638850.0,2640050.0,24,23,2.7201161763387804,2.7201161763387804,18.04590441714484
40,1200.0,2640050.0,2641250.0,30,28,0.5358486168059926,0.5358486168059926,79.31344537815126
41,1200.0,2641250.0,2642450.0,21,20,2.422072451558551,2.422072451558551,23.74
42,1200.0,2642450.0,2643650.0,22,21,0.8006892115419958,0.8006892115419958,58.22364901016587
43,1200.0,2643650.0,2644850.0,10,9,0.8627782568292746,0.8627782568292746,116.9348996573666
44,1200.0,2644850.0,2646050.0,28,27,1.3762512734529662,1.3762512734529662,31.621055949566596
45,1200.0,2646050.0,2647250.0,24,23,1.4788820430395575,1.4788820430395575,32.10415671285236
46,1200.0,2647250.0,2648450.0,21,20,1.4193137367327957,1.4193137367327957,33.255508474576274
47,1200.0,2648450.0,2649650.0,28,27,1.4885887422039465,1.4885887422039465,29.035704084547277
48,1200.0,2649650.0,2650850.0,24,23,1.800269842505384,1.800269842505384,28.449841293275266
49,1200.0,2650850.0,2652050.0,25,24,1.109561598511089,1.109561598511089,44.011376564277604
50,1200.0,2652050.0,2653250.0,21,20,1.408340203051095,1.408340203051095,41.2187338501292
51,1200.0,2653250.0,2654450.0,28,27,1.5642996332090617,1.5642996332090617,27.51201631924523
52,1200.0,2654450.0,2655650.0,8,7,2.3947265005063407,2.3947265005063407,58.16351648351648
53,1200.0,2655650.0,2656850.0,15,14,0.42913275742814666,0.42913275742814666,179.76455026455028
